Date,Time,Venue,Stage,Team 1,Team 1 Goals,Team 2,Team 2 Goals,Overtime,Penalties,Team 2 Penalties,Team 1 Penalties,Stage Details
6/11/2010,16:00,Johannesburg (SC),Group A,South Africa,1,Mexico,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/11/2010,20:30,Cape Town,Group A,Uruguay,0,France,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/12/2010,13:30,Port Elizabeth,Group B,South Korea ,2,Greece,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/12/2010,16:00,Johannesburg (EP),Group B,Argentina ,1,Nigeria,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/12/2010,20:30,Rustenburg,Group C,England ,1,United States,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/13/2010,13:30,Polokwane,Group C,Algeria ,0,Slovenia,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/13/2010,16:00,Pretoria,Group D,Serbia ,0,Ghana,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/13/2010,20:30,Durban,Group D,Germany ,4,Australia,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/14/2010,13:30,Johannesburg (SC),Group E,Netherlands ,2,Denmark,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/14/2010,16:00,Bloemfontein,Group E,Japan ,1,Cameroon,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/14/2010,20:30,Cape Town,Group F,Italy ,1,Paraguay,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/15/2010,13:30,Rustenburg,Group F,New Zealand ,1,Slovakia,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/15/2010,16:00,Port Elizabeth,Group G,Ivory Coast ,0,Portugal,0,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/15/2010,20:30,Johannesburg (EP),Group G,Brazil ,2,North Korea,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/16/2010,13:30,Nelspruit,Group H,Honduras ,0,Chile,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/16/2010,16:00,Durban,Group H,Spain ,0,Switzerland,1,FALSE,FALSE,undefined,undefined,First round of group stage matches
6/16/2010,20:30,Pretoria,Group A,South Africa ,0,Uruguay,3,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/17/2010,13:30,Johannesburg (SC),Group B,Argentina ,4,South Korea,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/17/2010,16:00,Bloemfontein,Group B,Greece ,2,Nigeria,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/17/2010,20:30,Polokwane,Group A,France ,0,Mexico,2,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/18/2010,13:30,Port Elizabeth,Group D,Germany ,0,Serbia,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/18/2010,16:00,Johannesburg (EP),Group C,Slovenia ,2,United States,2,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/18/2010,20:30,Cape Town,Group C,England ,0,Algeria,0,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/19/2010,13:30,Durban,Group E,Netherlands ,1,Japan,0,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/19/2010,16:00,Rustenburg,Group D,Ghana ,1,Australia,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/19/2010,20:30,Pretoria,Group E,Cameroon ,1,Denmark,2,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/20/2010,13:30,Bloemfontein,Group F,Slovakia ,0,Paraguay,2,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/20/2010,16:00,Nelspruit,Group F,Italy ,1,New Zealand,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/20/2010,20:30,Johannesburg (SC),Group G,Brazil ,3,Ivory Coast,1,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/21/2010,13:30,Cape Town,Group G,Portugal ,7,North Korea,0,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/21/2010,16:00,Port Elizabeth,Group H,Chile ,1,Switzerland,0,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/21/2010,20:30,Johannesburg (EP),Group H,Spain ,2,Honduras,0,FALSE,FALSE,undefined,undefined,Second round of group stage matches
6/22/2010,16:00,Rustenburg,Group A,Mexico,0,Uruguay,1,FALSE,FALSE,undefined,undefined,Third round of group stage matches
6/22/2010,16:00,Bloemfontein,Group A,France ,1,South Africa,2,FALSE,FALSE,undefined,undefined,Third round of group stage matches
6/22/2010,20:30,Durban,Group B,Nigeria,2,South Korea,2,FALSE,FALSE,undefined,undefined,Third round of group stage matches
6/22/2010,20:30,Polokwane,Group B,Greece ,0,Argentina,2,FALSE,FALSE,undefined,undefined,Third round of group stage matches
6/23/2010,16:00,Port Elizabeth,Group C,Slovenia ,0,England,1,FALSE,FALSE,undefined,undefined,Third round of group stage matches
6/23/2010,16:00,Pretoria,Group C,United States,1,Algeria,0,FALSE,FALSE,undefined,undefined,Third round of group stage matches
